"filename", "language", "HTML", "PHP", "Ini", "JavaScript", "Python", "JSON", "comment", "blank", "total"
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\parts\Sectional_welded_stainless_steel_water_tanks.html", "HTML", -57, 0, 0, 0, 0, 0, 0, -8, -65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\parts\Semi_soft_packing_media.html", "HTML", -57, 0, 0, 0, 0, 0, 0, -8, -65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\parts\Silica_sand_filter_media.html", "HTML", -57, 0, 0, 0, 0, 0, 0, -8, -65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\parts\Skylight_domes_daylighting_covers.html", "HTML", -57, 0, 0, 0, 0, 0, 0, -8, -65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\parts\Spherical_water_tanks.html", "HTML", -57, 0, 0, 0, 0, 0, 0, -8, -65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\parts\Spray_nozzles_various_types.html", "HTML", -57, 0, 0, 0, 0, 0, 0, -8, -65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\parts\Square_grid_packing.html", "HTML", -57, 0, 0, 0, 0, 0, 0, -8, -65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\parts\Stainless_steel_sanitary_water_tanks.html", "HTML", -57, 0, 0, 0, 0, 0, 0, -8, -65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\parts\Stainless_steel_sluice_gates.html", "HTML", -57, 0, 0, 0, 0, 0, 0, -8, -65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\parts\Stainless_steel_wedge_wire_screens.html", "HTML", -57, 0, 0, 0, 0, 0, 0, -8, -65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\parts\Step_rings.html", "HTML", -57, 0, 0, 0, 0, 0, 0, -8, -65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\parts\Vertical_insulated_water_tanks.html", "HTML", -57, 0, 0, 0, 0, 0, 0, -8, -65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\parts\banruanxingtianliao.html", "HTML", 57, 0, 0, 0, 0, 0, 0, 8, 65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\parts\biandaishixilie.html", "HTML", 57, 0, 0, 0, 0, 0, 0, 8, 65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\parts\bishuiqixilie.html", "HTML", 57, 0, 0, 0, 0, 0, 0, 8, 65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\parts\boligangchanraoshizhuguan.html", "HTML", 57, 0, 0, 0, 0, 0, 0, 8, 65
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\parts\boligangfengguan.html", "HTML", 57, 0, 0, 0, 0, 0, 0, 8, 65
